number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
43,,2025-11-12T12:00:00-05:00,2025-11-12T13:00:00-05:00,True,53,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 41}",14 mph,SW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
44,,2025-11-12T13:00:00-05:00,2025-11-12T14:00:00-05:00,True,55,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 40}",15 mph,SW,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
45,,2025-11-12T14:00:00-05:00,2025-11-12T15:00:00-05:00,True,57,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 38}",14 mph,W,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
46,,2025-11-12T15:00:00-05:00,2025-11-12T16:00:00-05:00,True,57,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 40}",14 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
47,,2025-11-12T16:00:00-05:00,2025-11-12T17:00:00-05:00,True,56,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 42}",14 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
48,,2025-11-12T17:00:00-05:00,2025-11-12T18:00:00-05:00,True,54,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 46}",12 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
49,,2025-11-12T18:00:00-05:00,2025-11-12T19:00:00-05:00,False,52,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 50}",10 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
50,,2025-11-12T19:00:00-05:00,2025-11-12T20:00:00-05:00,False,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 54}",9 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
51,,2025-11-12T20:00:00-05:00,2025-11-12T21:00:00-05:00,False,47,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 58}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
52,,2025-11-12T21:00:00-05:00,2025-11-12T22:00:00-05:00,False,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 60}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
